text,label;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tunggal truk trailer tangki adalah terjadi ignition delay, udara masuk ke dalam sistem bahan bakar sehingga menghambat aliran bahan bakar. AMT2 memompa solar dari tangki dengan cara priming pump ditekan secara manual dengan tangan. Tidak dipastikannya stopper pin masuk dengan aman ke tempatnya saat mengemudi dan cab mounting rubber diganti karet sandal sehingga terdapat celah yang besar antara pengait (hook) dengan eye bolt, memperparah kegagalan operasikan cab lock lever. Truk trailer tangki mengalami goncangan luar biasa di jalan menurun yang menyebabkan kemiringan kabin, akibatnya cab lock lever posisi release dan hook terlepas dari eye bolt.,UA;
Faktor penyebab fatalitas awak truk trailer tangki adalah dampak benturan atap ke bangunan kosong rangka baja mencapai survival space ruang kemudi.,PRE;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tabrakan beruntun ini adalah truk trailer tangki mengalami kegagalan pengereman terjadi karena persediaan udara tekan di tabung berada dibawah ambang batas, sehingga tidak cukup kuat untuk melakukan pengereman. Penurunan udara tekan dipicu oleh dua hal, pertama adanya kebocoran pada solenoid valve klakson tambahan dan kedua adalah travel stroke kampas rem. Resultante dua hal ini memaksa pengemudi melakukan pengereman berulang kali saat menghadapi gangguan lalu lintas karena rem tidak pakem.,PRE;
Fatalitas korban terjadi karena pengemudi mengalami kepanikan luar biasa disebabkan di depan ada beberapa kendaraan sementara muatan yang dibawanya adalah bahan yang mudah terbakar. Kondisi truk trailer tangki saat itu berada di lajur lambat, dan di sisi kiri terdapat trotoar yang cukup tinggi. Pada akhirnya pengemudi tidak mampu lagi menguasai truk trailer tangki dan menabrak beberapa kendaraan roda empat yang ada di depannya. Pengemudi secara refleks membelokkan kemudi ke arah kanan untuk terlepas dari kendaraan yang ditabraknya, namun ternyata di lajur kanan terdapat kerumunan kendaraan yang berhenti di APILL CBD sehingga tabrakan dengan kendaraan-kendaraan itu tak terelakkan lagi.,PRE;
Pembantu pengemudi mengalami tidur sesaat / microsleep saat mengemudikan bus wisata sehingga kendaraan oleng ke kiri, keluar dari badan jalan dan melaju di rumput bahu jalan. Selanjutnya bus wisata menabrak pagar pengaman jalan kemudian menabrak kerb jalan tol. Hal ini mengakibatkan ban kendaraan pecah dan bus menabrak tiang VMS (Variable Message Sign).,PRE;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan adalah sistem pengereman dump truck gagal untuk mempertahankan kecepatan konstan saat berjalan menuruni bukit dikarenakan kecepatan awal turunan tidak menggunakan prosedur engine braking dan exhaust brake. Namun pengemudi melakukan pengereman panjang dengan menggunakan service brake yang menyebabkan kampas mengalami overheat dan berakhir pada fenomena brakefading.,PRE;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan adalah sistem pengereman dump truck gagal untuk mempertahankan kecepatan konstan saat berjalan menuruni bukit dikarenakan kecepatan awal turunan tidak menggunakan prosedur engine braking dan exhaust brake. Namun pengemudi melakukan pengereman panjang dengan menggunakan service brake yang menyebabkan kampas mengalami overheat dan berakhir pada fenomena brakefading.,UA;
Penyebab terjadinya peningkatan fatalitas korban adalah peruntukkan dump truck yang seharusnya digunakan untuk mengangkut barang namun digunakan untuk mengangkut orang mengakibatkan tidak ada survival space bagi penumpang sehingga saat terjadi kecelakaan, para penumpang terlempar keluar dari bak. ,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tabrakan beruntun adalah terjadi penurunan tekanan brake chamber ke semua roda karena jumlah udara tekan air tank berkurang. Hal ini disebabkan oleh teknik pengoperasian saat mengemudi di jalan turunan panjang tidak diawali engine brake dan exhaust brake untuk mengurangi kecepatan. Penggunaaan service brake atau rem kaki digunakan ketika putaran mesin melebihi batas aman yang diijinkan.,UA;
Berdasarkan hasil investigasi dan analisis dapat disimpulkan bahwa penyebab terjadinya kecelakaan tunggal bus wisata adalah pemakaian transmisi gigi tinggi saat melalui jalan menurun panjang menyebabkan putaran poros engkol mesin menurun, sehingga laju kapasitas pengisian udara ke dalam tabung melambat. Tindakan pengereman yang terlalu sering dengan service brake mengakibatkan udara bertekanan dalam tabung turun secara signifikan. Hal ini mengakibatkan kekuatan tekanan aktuasi brake chamber tidak mencapai gaya pengereman maksimum di setiap roda,UA;
