text,label
dasar hasil investigasi analisis simpul sebab jadi celaka tunggal truk trailer tangki jadi ignition delay udara masuk dalam sistem bahan bakar hambat alir bahan bakar amt pompa solar tangki cara priming pump tekan cara manual tangan pasti stopper pin masuk aman tempat kemudi cab mounting rubber ganti karet sandal dapat celah besar kait hook eye bolt parah gagal operasi cab lock lever truk trailer tangki alami goncangan luar biasa jalan turun sebab miring kabin akibat cab lock lever posisi release hook lepas eye bolt,UA
faktor fatalitas awak truk trailer tangki dampak bentur atap bangun kosong rangka baja capai survival space ruang kemudi,PRE
dasar hasil investigasi analisis simpul sebab jadi celaka tabrak untun truk trailer tangki alami gagal rem jadi sedia udara tekan tabung bawah ambang batas cukup kuat laku rem turun udara tekan picu pertama bocor solenoid valve klakson tambah dua adalah travel stroke kampas rem resultante dua hal paksa kemudi laku rem ulang kali hadap ganggu lalu lintas rem tidak pakem,PRE
fatalitas korban jadi kemudi alami panik luar biasa depan beberapa kendara muat bawa bahan mudah bakar kondisi truk trailer tangki lajur lambat sisi kiri trotoar cukup tinggi akhir kemudi mampu kuasa truk trailer tangki tabrak beberapa kendara roda empat ada di depan kemudi cara refleks belok kemudi arah kanan lepas kendara tabrak nyata di lajur kanan kerumun kendara henti di apill cbd tabrak kendaraankendaraan itu tak elak,PRE
bantu kemudi alami tidur microsleep kemudi bus wisata kendara oleng kiri keluar badan jalan laju rumput bahu jalan lanjut bus wisata tabrak pagar kam jalan kemudian tabrak kerb jalan tol ini akibat ban kendara pecah bus tabrak tiang vms variable message sign,PRE
dasar hasil investigasi analisis simpul sebab jadi celaka sistem rem dump truck gagal tahan cepat konstan jalan turun bukit cepat awal turun guna prosedur engine braking exhaust brake kemudi laku rem panjang guna service brake sebab kampas alami overheat akhir fenomena brakefading,PRE
dasar hasil investigasi analisis simpul sebab jadi celaka sistem rem dump truck gagal tahan cepat konstan jalan turun bukit cepat awal turun guna prosedur engine braking exhaust brake kemudi laku rem panjang guna service brake sebab kampas alami overheat akhir fenomena brakefading,UA
jadi tingkat fatalitas korban dump truck harus untuk angkut barang guna untuk angkut orang akibat ada survival space tumpang saat jadi celaka tumpang lempar keluar bak,UA
dasar hasil investigasi analisis simpul jadi celaka tabrak untun jadi turun tekan brake chamber semua roda jumlah udara tekan air tank kurang ini sebab oleh teknik operasi kemudi jalan turun panjang awal engine brake exhaust brake kurang cepat penggunaaan service brake rem kaki ketika putar mesin lebih batas aman diijinkan,UA
dasar hasil investigasi analisis simpul jadi celaka tunggal bus wisata pakai transmisi gigi tinggi lalu jalan turun panjang sebab putar poros engkol mesin turun laju kapasitas isi udara tabung lambat tindak rem terlalu sering service brake akibat udara tekan dalam tabung turun cara signifikan ini akibat kuat tekan aktuasi brake chamber capai gaya rem maksimum tiap roda,UA
fatalitas korban jadi tidak sedia sabuk selamat semua kursi tumpang akibat mobil bus tabrak lereng tumpang lempar luar bentur dinding samping ujung tepi pecah kaca jendela bus wisata bentuk tajam non safety glass material superstruktur bus wisata pilar patah upa besi hollow kondisi korosi atap plafon kanan bus wisata runtuh timpa sandar kursi capai survival space,PRE
fatalitas korban jadi tidak sedia sabuk selamat semua kursi tumpang akibat mobil bus tabrak lereng tumpang lempar luar bentur dinding samping ujung tepi pecah kaca jendela bus wisata bentuk tajam non safety glass material superstruktur bus wisata pilar patah upa besi hollow kondisi korosi atap plafon kanan bus wisata runtuh timpa sandar kursi capai survival space,UA
dasar temuantemuan dapat investigasi faktorfaktor kontribusi hadap jadi celaka guna gigi tinggi jalan turun paksa kemudi laku rem ulang kali hal ber resiko turun tekan angin tabung angin rem kondisi kendara mana celah kampas tromol atas ambang batas tetap saat pasuk simpang muara rapak tekan angin tabung angin rem sisa bar hal yang kemudi mampu laku rem kendara celaka itu jadi,UA
seementara tingkat fatalitas celaka jadi tidak sedia jalur selamat jalan turun guna bumper depan buat besi tingkat daya rusak truk maksud tabrak kendara,PRE
dasar hasil investigasi analisis simpul sebab jadi celaka tabrak untun kurang waktu kualitas istirahat pramudi akibat jadi lelah microsleep tugas temu lengkap jalan mampu beri informasi baik upa ramburambu lalu lintas maupun pita gaduh akibat pramudi kurang waspada dekat halte cawang ciliwung tidak sadar dapat bus ada depan henti tabrak belakang,PRE
jadi tingkat fatalitas korban korban ada bak belakang truk lompat lempar keluar kondisi jalan upa beton drainase buka juga buat beton rigid lebar dalam daya dorong lompat bentur kepala beton sebab fatalitas korban,UA
dasar hasil investigasi analisis simpul sebab jadi celaka tabrak untun turun fo kretek risiko fo kretek bentang turun tuju bumiayu jarak kilometer sedia udara tabung cepat kurang pakai rem utama berulangulang katup buang tabung model kran risiko jadi bocor hilang udara pegas balik bagai kam sedia udara tabung kurang akibat kuat tekan aktuasi fluida master silinder capai gaya rem maksimum tiap roda lebih berat maksimum kendara diijinkan besar tidak hanya bahaya juga rupa langgar bawa bagai risiko rusa parah sering jadi area rem kendara masuk efek lebih beban,UA
fatalitas korban jadi tipe jalan bumiayupurwokerto lajur arah median risiko bentur antar kendara lawan arah sedia sabuk selamat kursi kemudi kontribusi lempar kemudi keluar kabin tabrak pertama jadi tabrak dengan truk sepeda motor,UA
fatalitas korban jadi tipe jalan bumiayupurwokerto lajur arah median risiko bentur antar kendara lawan arah sedia sabuk selamat kursi kemudi kontribusi lempar kemudi keluar kabin tabrak pertama jadi tabrak dengan truk sepeda motor,PRE
kemudi bus kemudi kendara cepat kmjam kurang antisipasi truk box tibatiba masuk lajur belah kanan dahulu kendara depan lanjut jadi step steeering input mobil bus arah kiri truk box lajur kiri dengar suara klakson bus depan belah kanan bus bentur belakang belah kiri atas truk box bus tabrak pagar kam guardrail tidak korban sisi belah kiri jadi step steering input mobil bus ke belah kanan lanjut bus oleng kemudian guling lajur satu seret jauh meter bus henti posisi bagi belah kanan ada atas ini tunjuk skidmark temu di lokasi jadi,UA
fatalitas korban jadi kursi tumpang lengkap sabuk selamat saat bus guling tumpang bentur kompartemen kabin beberapa tumpang lempar keluar bus kemudian timpa bodi bus,PRE
dasar hasil investigasi analisis simpul sebab truk tronton luncur tak kendali bentang turun jadi tabrak untun gagal lambat kondisi jalan turun panjang curam cenderung paksa jalan laku rem rem utama berkalikali awal teknik rem mesin engine braking,UA
fatalitas tinggi korban celaka akibat kemudi gagal belok truk tronton jalan harus lewat gerak arah jalan lurus lalu lintas lebih ramai,UA
dasar hasil investigasi analisis simpul sebab jadi celaka tunggal mobil bus b nga guling tikung harmoko karakteristik tikung tajam ganda kondisi kabut tebal halang pohon arah jambi buat jarak pandang pendek kemudi tidak punya alam rute jalan kurang info cuaca risiko gagal hadap bagai jenis ancam sebab kondisi jalan lingkung tunda lanjut jalan laku tindak selamat saat lewat tikung harmoko kurang cepat pakai engine brake exhause brake,PRE
dasar hasil investigasi analisis simpul sebab jadi celaka tunggal mobil bus b nga guling tikung harmoko karakteristik tikung tajam ganda kondisi kabut tebal halang pohon arah jambi buat jarak pandang pendek kemudi tidak punya alam rute jalan kurang info cuaca risiko gagal hadap bagai jenis ancam sebab kondisi jalan lingkung tunda lanjut jalan laku tindak selamat saat lewat tikung harmoko kurang cepat pakai engine brake exhause brake,UA
fatalitas korban jadi sedia sabuk selamat semua kursi tumpang pakai banyak tumpang akibat mobil bus guling tumpang kursi belah kanan timpa tumpang kursi belah kiri dorong dinding samping risiko cedera kepala rusuk,UA
dasar hasil investigasi analisis simpul sebab jadi celaka tunggal jatuh jurang bus wisata datang arah malangbong lewat jalan raya malangbongwado medan gunung berkelokkelok tanjak turun panjang awal remmesin engine brake exhaust brake kurang cepat kemudi tahu tikung dapat halang bahaya upa halang pandang lereng pohon akibat mobil bus gerak lurus dekat jurang guling tiga kali,UA
fatalitas korban jadi bus wisata pasang sabuk selamat semua tempat duduk hanya kursi kemudi ini kontribusi bus wisata jatuh jurang banyak tumpang bentur kompartemen kabin lempar luar saat jendela pecah kemudian timpa bodi bus guling,PRE
fatalitas tinggi korban celaka akibat airbag zona tabrak tidak tepat kena crash protection box tumpang tidak sabuk selamat,PRE
fatalitas tinggi korban celaka akibat airbag zona tabrak tidak tepat kena crash protection box tumpang tidak sabuk selamat,UA
neng cepat kendara kurang tepat jalur turun panjang bawen mana mengunakan gigi rendah bantu engine brake material pipaselang udara tabung hubung master sentralservo kondisi material original sebut bukti jadi puntir pipa dapat akibat kecil diameter pipa salur udara kapasitas udara dorong servo master sentral jadi kurang,UA
dasar hasil investigasi analisis simpul sebab jadi bakar mobil bus kotak sekring utama pakai simpan barang upa kertas plastik lain risiko kabel kelupas soket relay rusakhangus campur bahan mudah bakar,UA
dasar hasil investigasi analisis simpul sebab jadi celaka tabrak untun gagal lambat jalan turun panjang curam kemudi dapat lihat potensi bahaya laku rem rem utama berkalikali awal teknik engine braking exhaust brake cepat putar mesin rpmdianggap over speed akibat sedia udara tangki tip fluida dorong master cylinder optimal,UA
hasil investigasi jadi celaka kurang situational awareness milik kemudi truk tronton kemudi truk trailer lampu isyarat ingat bahaya lampu isyarat yang nyala saat henti parkir ada darurat jalan sesuai pasal uu tahun llaj,PRE
hasil investigasi jadi celaka kurang situational awareness milik kemudi truk tronton kemudi truk trailer lampu isyarat ingat bahaya lampu isyarat yang nyala saat henti parkir ada darurat jalan sesuai pasal uu tahun llaj,UA
fatalitas tinggi korban celaka akibat zona tabrak tepat kena crash protection box tumpang tidak sabuk selamat sabuk selamat tidak muat pompa dan sepeda motor material besi harus angkut pisah kendara angkut tumpang,UA
dasar hasil investigasi analisis simpul jadi celaka rupa kombinasi primer sekunder sebab primer mobil bus ukur besar milik kapasitas tempat duduk lebih orang sedang tuju kawasan wisata dieng lewat posko awas retribusi hingga tiba kawasan dieng sebab sekunder kemudi milik alam cukup lewat rute kejajardieng tatacara kemudi benar lalu jalan turun panjang laku sebab bus tidak dapat kendali jadi tabrak untun,UA
dasar hasil investigasi analisis simpul sebab jadi celaka tabrak belakang mobil bus kendara ke belah kiri titik tidak lihat blinspot mobil bus langsung tabrak belakang truk tronton parkir lama jam bahu jalan robek kabin tumpang hantam tumpang ada sisi kiri,UA
fatalitas korban jadi tidak rear underride protection device rupd truk tronton lindung tabrak mobil kecil truk belakang,PRE
hasil investigasi simpul celaka oleh faktor kemudi lelah jadi microsleep hilang kendali kemudi kekurangwaspadaan keluar jalur lalu lintas,PRE
microbus keluar jalur masuk arah lawan superstructure microbus mampu tahan alami bentur tidak sabuk selamat kursi tumpang,PRE
microbus keluar jalur masuk arah lawan superstructure microbus mampu tahan alami bentur tidak sabuk selamat kursi tumpang,UA
jadi celaka system rem optimal operasi supply udara tekan kompresor air dryer ganggu akibat conecting hose auslonggar ikat karet,UA
superstructure mobil bus mampu tahan alami bentur tergulingrollover tidak sabuk selamat kursi tumpang,PRE
dasar hasil investigasi analisis simpul jadi celaka cara langsung rupa kombinasi tindak selamat laku cara sama satu waktu diri atas a selang flexible ada kondisi getas lepas mobil tangki gagal lalu medan tanjak ekstrim sebab gigi transmisi sesuai b mundur mobil tangki overload dapat antisipasi guna rem parkir saat kerja rendah c mundur mobil tangki overload tidak dapat antisipasi ganjal roda tidak guna ganjal ban khusus,UA
dasar hasil investigasi analisis simpul jadi celaka gagal rem gigi persnelling tinggi cepat tinggi jalan turun paksa sistem rem utama mobil bus kerja cara maksimal kondisi teknis mobil bus tidak prima sebab jadi malfunction saat guna cara maksimal ini tanda lepas selang udara akibat udara airtank kosong bocor seal silinder roda jadi overheat ruang tromol dampak turun koefisien gesek kampas hadap tromol,UA
