Unnamed: 0,TEXT,TARGET_LIST
,"Dengan demikian, kemungkinan rangkaian penyebab (Probable Causes) terjadinya peristiwa kecelakaan ini adalah kurang mengenal (familiar) nya pengemudi terhadap rute tersebut, kondisi jalan yang rusak berat, penggunaan komponen (kanvas) rem yang tidak standar serta muatan melebihi kapasitas, mengakibatkan yang bersangkutan kurang mampu dalam mengatasi kondisi kritis yang datang secara tiba-tiba.","[1.0, 0.0, 0.0, 0.0, 0.0]"
1.0,"Penyebab utama kecelakaan ini meliputi ketidakterbiasaan pengemudi dengan rute, kondisi jalan yang buruk, penggunaan komponen rem non-standar, dan muatan berlebih, menyebabkan kesulitan menghadapi situasi mendadak.","[1.0, 0.0, 0.0, 0.0, 0.0]"
2.0,"Kecelakaan ini kemungkinan disebabkan oleh ketidakfamiliaran pengemudi dengan rute, kondisi jalan rusak, penggunaan kanvas rem yang tidak sesuai standar, dan muatan berlebihan, yang menghambat penanganan situasi darurat.","[1.0, 0.0, 0.0, 0.0, 0.0]"
3.0,"Rangkaian penyebab kecelakaan mungkin termasuk kurangnya pengenalan pengemudi pada rute, kondisi jalan yang parah, penggunaan komponen rem tidak standar, dan beban melebihi kapasitas, mempersulit pengendalian kondisi tak terduga.","[1.0, 0.0, 0.0, 0.0, 0.0]"
4.0,"Kemungkinan penyebab kecelakaan ini adalah pengemudi yang tidak familiar dengan rute, jalan rusak, kanvas rem non-standar, dan kelebihan muatan, membatasi kemampuan mengatasi keadaan mendesak.","[1.0, 0.0, 0.0, 0.0, 0.0]"
5.0,"Kecelakaan dapat disebabkan oleh kurangnya pengalaman pengemudi pada rute tersebut, kondisi jalan yang rusak, penggunaan kanvas rem tidak standar, dan muatan berlebih, mempengaruhi kemampuan menghadapi situasi mendadak.","[1.0, 0.0, 0.0, 0.0, 0.0]"
6.0,"Penyebab kecelakaan ini mungkin termasuk ketidaktahuan pengemudi terhadap rute, kondisi jalan yang buruk, penggunaan rem non-standar, dan kelebihan muatan, yang mengurangi kemampuan mengatasi keadaan tak terduga.","[1.0, 0.0, 0.0, 0.0, 0.0]"
7.0,"Kecelakaan mungkin terjadi karena pengemudi tidak mengenal rute, kondisi jalan yang sangat rusak, komponen rem tidak sesuai standar, dan muatan melebihi kapasitas, menyulitkan pengemudi dalam situasi mendesak.","[1.0, 0.0, 0.0, 0.0, 0.0]"
8.0,"Kemungkinan faktor penyebab kecelakaan termasuk ketidakfamiliaran pengemudi dengan rute, kondisi jalan rusak, penggunaan komponen rem yang tidak standar, dan muatan berlebih, mempengaruhi penanganan kondisi darurat.","[1.0, 0.0, 0.0, 0.0, 0.0]"
9.0,"Kecelakaan mungkin disebabkan oleh kurangnya pengetahuan pengemudi tentang rute, kondisi jalan yang buruk, penggunaan kanvas rem tidak standar, dan muatan berlebih, yang berakibat pada kesulitan menangani situasi mendadak.","[1.0, 0.0, 0.0, 0.0, 0.0]"
10.0,"Penyebab potensial kecelakaan ini meliputi ketidakterbiasaan pengemudi dengan rute, kondisi jalan yang rusak, komponen rem tidak standar, dan kelebihan muatan, menyebabkan kesulitan dalam menghadapi kondisi tak terduga.","[1.0, 0.0, 0.0, 0.0, 0.0]"
11.0,"Kecelakaan ini mungkin terjadi akibat pengemudi yang tidak familiar dengan rute, kondisi jalan rusak, penggunaan komponen rem yang tidak standar, dan muatan melebihi batas, mengakibatkan kesulitan saat situasi kritis.","[1.0, 0.0, 0.0, 0.0, 0.0]"
12.0,"Kemungkinan kecelakaan disebabkan oleh ketidakfamiliaran pengemudi terhadap rute, kondisi jalan yang tidak ideal, penggunaan komponen rem tidak standar, dan muatan berlebih, menyulitkan penanganan kondisi darurat.","[1.0, 0.0, 0.0, 0.0, 0.0]"
