text,label
tingkat waspada mahir kemudi kemudi kendara medan demikian golong cakap saat jadi mungkin kondisistamina kemudi lelah konsentrasi mampu antisipasi hadap mungkin dapat jadi sewaktuwaktu di luar duga dapat direspon cara baik ini kait cara erat kerja lebih batas jam kerja normal terlalu banyak lemburovertime akibat kurang waktu istirahat,UA
tingkat waspada terampil kemudi hadap medan belum tambah kondisi lelah pengaruh konsentrasi antisipasi hadap tak duga ini erat kait jam kerja lebih kurang waktu istirahat,UA
kemudi cukup cakap waspada kemudi kendara medan sebut lelah kurang mampu antisipasi hadap mungkin tidak duga akibat kerja lebih batas normal,UA
waspada mahir kemudi kendara medan belum cukup lebih kondisi lelah pengaruh konsentrasi respon hadap jadi dadak pengaruh jam kerja terlalu panjang,UA
mampu siaga kemudi kendara medan ini kurang parah lelah kurang konsentrasi kait erat kerja lembur lebih istirahat cukup,UA
kemudi sepenuh siap kemudi kendara medan apalagi kondisi fisik lelah antisipasi hadap dadak optimal akibat jam kerja lebih,UA
lelah alami kemudi pengaruh konsentrasi respon hadap situasi tak duga tunjuk kurang waspada terampil sebab waktu kerja lampau batas,UA
kurang mampu waspada kemudi medan lihat respons kurang cepat akibat kondisi lelah sebab jam kerja panjang waktu istirahat minim,UA
lelah akibat lembur lebih buat konsentrasi mampu antisipasi kemudi turun tunjuk mampu cukup medan ini,UA
kemudi hadap medan waspada terampil kurang tambah lelah kurang respons hadap mungkin tak duga akibat kerja istirahat cukup,UA
waspada mahir kemudi hadap medan belum utama lelah pengaruh konsentrasi akibat kerja lembur terlalu sering,UA
medan butuh waspada mahir kemudi lebih baik lelah akibat jam kerja panjang turun mampu respons situasi dadak,UA
kondisi kemudi lelah turun mampu kendara medan tunjuk penting atur waktu kerja lebih manusiawi tingkat waspada,UA
lelah fisik kurang istirahat buat konsentrasi waspada kemudi medan turun tunjuk kurang kesiap hadap situasi tak duga,UA
mampu antisipasi kemudi medan belum cukup dengan lelah timbul akibat kerja lembur kurang waktu istirahat,UA
kemudi kurang waspada terampil hadap medan utama faktor lelah pengaruh mampu respons kondisi tak duga,UA
lelah akibat kerja lembur waktu istirahat cukup pengaruh waspada kemudi medan sehingga respon hadap situasi darurat optimal,UA
waspada terampil kemudi medan masih kurang tambah lelah akibat jam kerja panjang buat mampu antisipasi turun,UA
lelah fisik alami kemudi akibat kerja lembur dampak turun waspada terampil hadap medan,UA
lelah kerja buat kemudi mampu respons situasi dadak medan dengan baik tunjuk perlu waktu istirahat lebih,UA
kondisi lelah akibat jam kerja panjang buat kemudi kurang cakap hadap medan sehingga mampu antisipasi hadap jadi dadak turun,UA
kemudi kurang cakap hadap medan tambah lelah akibat kerja lebih buat respons hadap mungkin tak duga jadi lemah,UA
waspada mampu kemudi lewat medan belum optimal utama kondisi lelah sebab lembur lebih,UA
lelah kerja alami kemudi kurang mampu respons situasi dadak medan tunjuk kurang waktu istirahat,UA
medan butuh kemudi terampil waspada baik lelah akibat jam kerja panjang buat mampu turun,UA
lelah akibat waktu kerja lebih kurang mampu kemudi respons situasi tak duga medan cara optimal,UA
mampu kemudi hadap medan belum cukup baik utama kondisi fisik lelah akibat kerja lembur panjang,UA
kemudi kurang terampil waspada medan alami turun mampu lelah akibat waktu kerja lebih,UA
jam kerja panjang waktu istirahat cukup pengaruh waspada mampu kemudi medan sehingga respons hadap situasi dadak jadi kurang baik,UA
lelah akibat lembur kurang waspada kemudi medan tunjuk perlu istirahat cukup respons hadap jadi dadak lebih optimal,UA
kemudi kondisi lelah akibat kerja lembur sulit hadap medan dengan waspada terampil perlu antisipasi jadi tak duga,UA
bad connection sebab hubung pendek arcing picu buruk kondisi batere mekanisme pelihara batere kontrol samping dapat instalasi material kabel connector yang tidak sesuai standar practice industry,UA
koneksi buruk sebab hubung pendek arcing buruk kondisi baterai tidak awat kurang kendali pelihara baterai instalasi kabel konektor tidak sesuai standar industri,UA
hubung pendek arcing jadi akibat koneksi tidak baik parah kondisi baterai buruk mekanisme pelihara tidak awas material kabel konektor instalasi tidak penuh standar industri,UA
koneksi tidak optimal jadi hubung pendek arcing pengaruh kondisi baterai kurang jaga akibat pelihara tidak kontrol instalasi komponen tidak sesuai standar praktik industri,UA
hubung pendek maupun arcing timbul akibat koneksi kurang baik parah kondisi baterai tidak jaga mekanisme pelihara tidak awas guna material tidak sesuai standar industri,UA
baterai buruk akibat pelihara tidak kendali tambah koneksi tidak baik guna komponen tidak sesuai standar picu hubung pendek arcing,UA
hubung pendek arcing seringkali koneksi tidak baik picu oleh baterai kondisi buruk akibat kurang awas pelihara instalasi material tidak sesuai standar industri,UA
kondisi baterai buruk akibat pelihara tidak kontrol kombinasi koneksi buruk guna kabel konektor tidak sesuai standar picu arcing hubung pendek,UA
arcing hubung pendek jadi akibat koneksi buruk buruk kondisi baterai tidak awat mekanisme pelihara tidak efektif instalasi komponen tidak sesuai standar,UA
buruk koneksi tambah baterai kondisi tidak kontrol mekanisme pelihara kurang baik guna komponen tidak sesuai standar sebab hubung pendek arcing,UA
kondisi baterai tidak awat akibat pelihara kurang kontrol kombinasi koneksi buruk material tidak sesuai standar picu hubung pendek arcing,UA
pelihara baterai tidak kendali akibat kondisi baterai buruk sama koneksi buruk material tidak sesuai standar sebab arcing hubung pendek,UA
buruk koneksi kondisi baterai mekanisme pelihara tidak efektif material kabel konektor tidak sesuai standar seringkali jadi sebab arcing hubung pendek,UA
hubung pendek arcing picu kondisi baterai buruk akibat pelihara tidak kontrol tambah koneksi buruk guna komponen tidak sesuai standar praktik industri,UA
koneksi buruk parah kondisi baterai tidak jaga akibat pelihara kurang baik guna material tidak sesuai standar sebab hubung pendek arcing,UA
hubung pendek arcing sering oleh kombinasi koneksi buruk baterai kondisi buruk akibat pelihara tidak awas instalasi komponen tidak sesuai standar industri,UA
kondisi baterai tidak baik akibat pelihara kurang kontrol koneksi buruk material tidak sesuai standar jadi faktor picu arcing hubung pendek,UA
arcing hubung pendek jadi koneksi tidak baik parah kondisi baterai buruk akibat mekanisme pelihara tidak serta kabel konektor tidak sesuai standar industri,UA
koneksi tidak baik buruk kondisi baterai tidak awat akibat pelihara kurang baik instalasi material tidak sesuai standar sebab arcing hubung pendek,UA
baterai tidak awat baik pelihara tidak kontrol tambah koneksi buruk guna komponen tidak sesuai standar seringkali picu hubung pendek arcing,UA
buruk koneksi kondisi baterai akibat pelihara tidak awas instalasi material kabel tidak sesuai standar sebab hubung pendek arcing,UA
koneksi tidak baik tambah baterai kondisi buruk akibat pelihara tidak jaga material kabel konektor tidak sesuai standar sering jadi picu arcing hubung pendek,UA
hubung pendek arcing sebab kondisi baterai buruk akibat pelihara tidak efektif koneksi buruk instalasi tidak sesuai standar industri,UA
buruk koneksi sebab hubung pendek arcing seringkali picu baterai kondisi buruk akibat pelihara tidak kontrol guna material tidak sesuai standar,UA
pelihara baterai tidak kontrol tambah koneksi buruk guna material tidak penuh standar praktik industri jadi utama hubung pendek arcing,UA
hubung pendek maupun arcing jadi akibat koneksi buruk buruk kondisi baterai tidak jaga pelihara tidak efektif komponen tidak sesuai standar,UA
baterai tidak pelihara baik akibat mekanisme pelihara tidak kendali koneksi buruk instalasi tidak sesuai standar seringkali jadi picu arcing hubung pendek,UA
arcing hubung pendek jadi akibat koneksi buruk parah kondisi baterai tidak jaga pelihara tidak efektif instalasi material tidak sesuai standar,UA
kondisi baterai buruk akibat kurang kendali pelihara kombinasi koneksi buruk guna material tidak penuh standar sebab hubung pendek arcing,UA
koneksi buruk sebab arcing hubung pendek sering picu baterai kondisi buruk akibat pelihara tidak kontrol instalasi komponen tidak sesuai standar,UA
koneksi buruk tambah baterai kondisi awat pelihara kurang baik material tidak sesuai standar industri picu hubung pendek arcing,UA
dasar hasil investigasi analisis simpul sebab jadi celaka human factor mana kemudi alami lelah luar biasa sebab fenomena microsleep kemudi kendara jalan tol akibat terlampuainya batas waktu kemudi bagaimana atur atur undang ada uu nomor tahun ketenagakerjaan uu nomor tahun llaj,PRE
dasar hasil investigasi analisis simpul celaka oleh faktor manusia kemudi alami lelah ekstrem hingga jadi fenomena microsleep kemudi jalan tol akibat lampau batas waktu kemudi atur atur undang uu nomor tahun ketenagakerjaan uu nomor tahun llaj,PRE
faktor manusia jadi celaka dasar hasil investigasi analisis mana kemudi alami lelah berat picu microsleep kemudi jalan tol waktu kemudi lebih batas tentu uu nomor tahun ketenagakerjaan uu nomor tahun llaj,PRE
hasil investigasi analisis simpul sebab celaka lelah berat alami kemudi hingga timbul microsleep jalan tol akibat lampau batas waktu kemudi sesuai atur uu nomor tahun ketenagakerjaan uu nomor tahun llaj,PRE
celaka oleh faktor manusia mana kemudi alami lelah berat hingga jadi microsleep kemudi jalan tol langgar batas waktu kemudi bagaimana atur uu nomor tahun ketenagakerjaan uu nomor tahun llaj,PRE
dasar investigasi analisis celaka jadi kemudi alami lelah luar biasa sebab microsleep kemudi jalan tol akibat langgar batas waktu atur uu nomor tahun uu nomor tahun,PRE
hasil analisis tunjuk utama celaka human factor lelah ekstrem alami kemudi hingga sebab microsleep kemudi jalan tol lampau batas waktu telah atur uu kait,PRE
investigasi simpul celaka jadi lelah berat sebab kemudi alami microsleep kemudi jalan tol lampau batas waktu sesuai atur uu nomor tahun uu nomor tahun,PRE
lelah ekstrem fenomena microsleep kemudi jadi sebab utama celaka sesuai hasil investigasi analisis mana kemudi langgar batas waktu kemudi atur uu nomor tahun uu nomor tahun,PRE
celaka sebab faktor manusia kemudi alami lelah berat picu microsleep kendara jalan tol akibat lampau batas waktu kemudi bagaimana atur undang laku,PRE
investigasi simpul celaka jadi akibat lelah luar biasa kemudi sebab microsleep kemudi jalan tol lampau batas waktu telah oleh atur uu nomor tahun uu nomor tahun,PRE
hasil analisis tunjuk lelah berat alami kemudi jadi utama celaka hingga fenomena microsleep kendara jalan tol akibat langgar batas waktu sesuai uu nomor tahun uu nomor tahun,PRE
lelah ekstrem hingga picu microsleep kendara jadi utama celaka sesuai investigasi mana kemudi lampau batas waktu kemudi telah atur uu nomor tahun uu nomor tahun,PRE
dasar analisis celaka adalah lelah berat alami kemudi hingga jadi microsleep jalan tol akibat lebih batas waktu kemudi sesuai atur uu nomor tahun uu nomor tahun,PRE
human factor jadi utama celaka mana kemudi alami lelah luar biasa picu microsleep kendara di jalan tol akibat lampau batas waktu atur uu nomor tahun uu nomor tahun,PRE
celaka oleh lelah berat alami kemudi hingga fenomena microsleep kendara jalan tol langgar batas waktu kemudi uu nomor tahun uu nomor tahun,PRE
hasil investigasi tunjuk celaka jadi kemudi alami lelah luar biasa hingga picu microsleep kendara akibat lampau batas waktu kemudi telah dalam atur undang,PRE
analisis tunjuk celaka human factor mana kemudi alami lelah berat hingga jadi microsleep kendara jalan tol langgar batas waktu tetap oleh uu nomor tahun uu nomor tahun,PRE
lelah luar biasa alami kemudi hingga microsleep jalan tol jadi celaka bagaimana simpul investigasi tunjuk langgar batas waktu kemudi turut uu kait,PRE
kemudi lelah berat hingga alami microsleep kemudi jalan tol jadi utama celaka akibat lampau batas waktu kemudi telah atur uu nomor tahun uu nomor tahun,PRE
investigasi tunjuk lelah alami kemudi jadi faktor utama celaka dengan microsleep jadi kemudi jalan tol akibat lampau batas waktu kemudi sesuai atur uu kait,PRE
microsleep alami kemudi kemudi jalan tol jadi utama celaka akibat lelah berat jadi lampau batas waktu tentu uu nomor tahun uu nomor tahun,PRE
celaka jadi kemudi alami lelah luar biasa picu microsleep kemudi lampau batas waktu sesuai atur uu nomor tahun uu nomor tahun,PRE
celaka adalah lelah ekstrem alami kemudi hingga picu fenomena microsleep kendara langgar batas waktu atur uu nomor tahun uu nomor tahun,PRE
microsleep alami kemudi kemudi jalan tol jadi celaka mana ini jadi lelah berat langgar batas waktu kemudi sesuai atur uu nomor tahun uu nomor tahun,PRE
human factor jadi utama celaka karena kemudi alami lelah berat picu microsleep kendara akibat lampau batas waktu kemudi telah atur undang,PRE
celaka jadi akibat fenomena microsleep alami kemudi jalan tol bagai akibat lelah berat lampau batas waktu kemudi tetap uu nomor tahun uu nomor tahun,PRE
kemudi alami lelah ekstrem picu microsleep kendara jalan tol jadi utama celaka akibat langgar batas waktu kemudi atur atur uu kait,PRE
dasar analisis celaka lelah luar biasa kemudi hingga sebab microsleep jalan tol akibat waktu kemudi lampau batas sesuai uu nomor tahun uu nomor tahun,PRE
lelah alami kemudi hingga picu microsleep kemudi jadi utama celaka akibat langgar batas waktu sesuai atur uu nomor tahun ketenagakerjaan uu nomor tahun llaj,PRE
celaka sebab lelah berat kemudi sebab fenomena microsleep kendara jalan tol lampau batas waktu atur uu nomor tahun uu nomor tahun,PRE
demikian simpul mungkin probability cause jadi peristiwa celaka adalah cara kemudi selamat kemudi zig zag kemudi mobil bus po sumber kencono kendara sepeda motor putar bukan tempat median jalan tinggi tidak standar,UA
demikian simpul sebab mungkin probability cause celaka adalah kemudi bus po sumber kencono kemudi cara aman zigzag kendara sepeda motor putar tempat tidak sesuai median jalan tinggi tidak standar,UA
dasar analisis mungkin celaka adalah cara kemudi tidak aman kemudi bus po sumber kencono zigzag kendara motor putar bukan tempat tinggi median jalan tidak sesuai standar,UA
simpul sebab celaka mungkin besar cara kemudi aman kemudi bus po sumber kencono kendara motor putar lokasi mesti median jalan tinggi tidak standar,UA
mungkin celaka adalah cara kemudi selamat kemudi bus po sumber kencono zigzag kendara motor putar tempat salah median jalan tinggi sesuai standar,UA
simpul tunjuk mungkin celaka adalah perilaku kemudi bus po sumber kencono kemudi cara zigzag kendara motor putar lokasi tidak benar median jalan tidak sesuai standar tinggi,UA
celaka mungkin besar cara kemudi bus po sumber kencono aman zigzag kendara sepeda motor putar tempat tidak mesti median jalan tinggi tidak standar,UA
simpul mungkin celaka cara kemudi selamat kemudi bus po sumber kencono kendara motor tidak putar tempat median jalan tinggi tidak standar,UA
utama celaka duga kemudi bus po sumber kencono kemudi zigzag kendara motor putar bukan tempat sesuai median jalan tinggi tidak sesuai standar,UA
mungkin besar celaka sebab cara kemudi zigzag kemudi bus po sumber kencono kendara motor putar bukan tempat benar median jalan tinggi standar,UA
investigasi simpul mungkin celaka kemudi bus po sumber kencono kemudi zigzag kendara motor putar tempat salah median jalan tinggi tidak sesuai standar,UA
mungkin celaka cakup cara kemudi zigzag kemudi bus po sumber kencono kendara sepeda motor putar lokasi mesti median jalan tinggi tidak sesuai standar,UA
simpul sebab celaka mungkin besar cara kemudi aman kemudi bus po sumber kencono kendara motor tidak putar tempat tentu median jalan tinggi tidak sesuai standar,UA
analisis simpul mungkin celaka adalah cara kemudi zigzag kemudi bus po sumber kencono kendara motor salah tempat putar median jalan tinggi tidak penuh standar,UA
celaka mungkin kemudi bus po sumber kencono kemudi zigzag kendara motor putar lokasi tidak sesuai median jalan tinggi tidak standar,UA
investigasi tunjuk sebab celaka mungkin besar cara kemudi selamat kemudi bus po sumber kencono perilaku kendara motor putar bukan tempat median jalan tinggi tidak sesuai standar,UA
simpul analisis tunjuk mungkin celaka kemudi bus po sumber kencono kemudi zigzag kendara motor salah lokasi putar median jalan tinggi tidak sesuai,UA
mungkin celaka adalah perilaku kemudi bus po sumber kencono kemudi cara zigzag kendara motor putar tempat tidak sesuai median jalan tidak penuh standar tinggi,UA
dasar investigasi celaka mungkin besar oleh kemudi bus po sumber kencono kemudi zigzag kendara motor salah lokasi putar median jalan tidak sesuai standar,UA
celaka mungkin besar cara kemudi zigzag kemudi bus po sumber kencono kendara motor putar tempat tidak mesti median jalan tinggi tidak standar,UA
simpul celaka sebab cara kemudi aman kemudi bus po sumber kencono zigzag kendara motor salah lokasi putar median jalan tinggi sesuai standar,UA
mungkin celaka cakup kemudi bus po sumber kencono kemudi zigzag kendara motor putar tempat tidak sesuai median jalan tinggi tidak sesuai standar,UA
simpul investigasi nyata celaka sebab kemudi bus po sumber kencono kemudi zigzag kendara motor salah lokasi putar median jalan tinggi tidak penuh standar,UA
mungkin besar celaka sebab perilaku aman kemudi bus po sumber kencono kemudi zigzag kendara motor putar tempat sesuai median jalan tidak penuh standar tinggi,UA
simpul sebab celaka adalah kemudi bus po sumber kencono kemudi zigzag kendara motor salah tempat putar median jalan tinggi sesuai standar,UA
